Name,Price,URL,Image URL
Acer Aspire 5 A515 57G 56DQ Slim Business Laptop  15.6 Inch FHD IPS  Intel Core I5 1235U  8GB RAM 512GB PCIe SSD  GeForce RTX 2050 4GB  Fingerprint Sensor  DOS  Black,"EGP 24,999.00",https://www.jumia.com.eg/acer-aspire-5-a515-57g-56dq-slim-business-laptop-15.6-inch-fhd-ips-intel-core-i5-1235u-8gb-ram-512gb-pcie-ssd-geforce-rtx-2050-4gb-fingerprint-sensor-dos-black-129946686.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/68/6649921/1.jpg?5326
Apple MacBook Pro 16 M4 Pro 14C CPU 20C GPU / 48GB / 512GB / AR / space black,"EGP 193,300.00",https://www.jumia.com.eg/apple-macbook-pro-16-m4-pro-14c-cpu-20c-gpu-48gb-512gb-ar-space-black-133468391.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/19/3864331/1.jpg?8324
Asus Vivobook Go 15 E1504FA-NJ005W (90NB0ZR1-M01WW0) AMD Ryzen™ 5 7520U - 8GB LPDDR5 on board - 512GB - GPU	AMD Radeon™ Graphics - Win 11 Home - Cool Silver,"EGP 22,999.00",https://www.jumia.com.eg/asus-vivobook-go-15-e1504fa-nj005w-90nb0zr1-m01ww0-amd-ryzentm-5-7520u-8gb-lpddr5-on-board-512gb-gpuamd-radeontm-graphics-win-11-home-cool-silver-130106061.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/16/0601031/1.jpg?3671
"HP Pavilion X360 14-ek1019ne Laptop, Intel® Core™ I5-1335U, Intel® Iris® X  Graphics, 8GB Ram, 512GB SSD, 14"" FHD, Win11 - Silver","EGP 35,980.00",https://www.jumia.com.eg/hp-pavilion-x360-14-ek1019ne-laptop-intelr-coretm-i5-1335u-intelr-irisr-x-graphics-8gb-ram-512gb-ssd-14-fhd-win11-silver-130866927.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/72/9668031/1.jpg?2592
"MSI Modern 15H B13M Intel Core I7-13620H 512GB SSD 8GB Ram Intel Iris Xe Graphics 15.6"" Inch FHD","EGP 27,777.00",https://www.jumia.com.eg/msi-modern-15h-b13m-intel-core-i7-13620h-512gb-ssd-8gb-ram-intel-iris-xe-graphics-15.6-inch-fhd-128260478.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/87/4062821/1.jpg?5972
"DELL Laptop inspiron 14 7440 2 in 1 Laptop, 14 Inch FHD Touch, Intel Core 5 120U, 8GB RAM, 512GB SSD, Intel Graphics, Windows 11 - Ice Blue","EGP 34,828.00",https://www.jumia.com.eg/dell-laptop-inspiron-14-7440-2-in-1-laptop-14-inch-fhd-touch-intel-core-5-120u-8gb-ram-512gb-ssd-intel-graphics-windows-11-ice-blue-133560435.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/53/4065331/1.jpg?3690
Acer 5 A515-57G-56DQ Slim Business Laptop NX.KNZEM.007 CPU CORE I5 1235 U RAM 8G DDR4 HDD 512 SSD NVME VGA NVIDIA GeForce RTX 2050 4GB GDDR6 15.6 DOS Warranty 1 Year,"EGP 23,999.00",https://www.jumia.com.eg/acer-5-a515-57g-56dq-slim-business-laptop-nx.knzem.007-cpu-core-i5-1235-u-ram-8g-ddr4-hdd-512-ssd-nvme-vga-nvidia-geforce-rtx-2050-4gb-gddr6-15.6-dos-warranty-1-year-130154272.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/27/2451031/1.jpg?2764
"HP Elite Book 745 G6, AMD Ryzen 5 Pro 3500U, 14"" Inch, 8GB Ram, 256GB SSD, Integrated AMD Radeon Vega 8 Graphics (2GB), windows 10 - Silver + Free Bag","EGP 10,350.00",https://www.jumia.com.eg/hp-elite-book-745-g6-amd-ryzen-5-pro-3500u-14-inch-8gb-ram-256gb-ssd-integrated-amd-radeon-vega-8-graphics-2gb-windows-10-silver-free-bag-133552742.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/24/7255331/1.jpg?3515
UniCorn Hard cover A5 Notebook with Magnet Lock - 1 pcs - Light Pink,EGP 200.00,https://www.jumia.com.eg/generic-unicorn-hard-cover-a5-notebook-with-magnet-lock-1-pcs-light-pink-105699685.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/58/6996501/1.jpg?2686
Asus Vivobook S 14 Flip TN3402YA-LZ007W Laptop AMD R7 7730U 8GB RAM 512GB SSD 14.0” WUXGA Touch AMD Radeon Graphics Win11 + Pen - 90NB1112-M00EE0,"EGP 33,599.00",https://www.jumia.com.eg/asus-vivobook-s-14-flip-tn3402ya-lz007w-laptop-amd-r7-7730u-8gb-ram-512gb-ssd-14.0-wuxga-touch-amd-radeon-graphics-win11-pen-90nb1112-m00ee0-132050078.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/87/0050231/1.jpg?8449
MSI NB-MSI-THIN 15 B13VE-2614-CI7 13620H-512GB SSD-16GB-RTX4050 6GB-15.6FHD 144HZ-DOS-GRAY,"EGP 38,450.00",https://www.jumia.com.eg/msi-nb-msi-thin-15-b13ve-2614-ci7-13620h-512gb-ssd-16gb-rtx4050-6gb-15.6fhd-144hz-dos-gray-131933744.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/44/7339131/1.jpg?5573
